awayTeam,homeTeam,venue_name,homeDateTime,high_temperature,low_temperature,precipitation (mm),percentile_score,score
DET,IND,Gainbridge Fieldhouse,2023-11-24,39.47,30.56,0.0,66.45004061738423,53.702986943613034
DEN,HOU,Toyota Center,2023-11-24,66.04,49.21,0.0,25.507717303005684,33.42312222173455
WAS,MIL,Fiserv Forum,2023-11-24,30.72,20.61,0.0,77.7416734362307,57.778525324072525
SAC,MIN,Target Center,2023-11-24,28.04,13.93,0.0,79.69130787977254,58.47813047130998
SAS,GSW,Chase Center,2023-11-24,60.42,49.78,0.0,24.451665312753857,32.87316747748751
NOP,LAC,Crypto.com Arena,2023-11-24,68.36,55.6,0.0,13.64744110479285,24.545035222070158
PHI,OKC,Paycom Center,2023-11-25,43.05,30.65,12.18,97.40048740861089,88.02352397545059
MIA,BKN,Barclays Center,2023-11-25,40.82,30.74,0.0,65.63769293257513,53.441226448527054
ATL,WAS,Capital One Arena,2023-11-25,43.36,31.03,0.0,65.19090170593013,53.24406157089635
LAL,CLE,Rocket Mortgage FieldHouse,2023-11-25,40.91,28.2,0.0,71.44597887896019,55.36161391956546
NOP,UTA,Delta Center,2023-11-25,35.62,28.09,0.51,92.44516653127538,80.48990780384699
DAL,LAC,Crypto.com Arena,2023-11-25,68.7,53.24,0.0,17.871649065800163,28.1384093343735
POR,MIL,Fiserv Forum,2023-11-26,32.16,27.81,5.24,97.15678310316815,87.47663778438228
ATL,BOS,TD Garden,2023-11-26,44.65,27.88,2.18,95.1259138911454,84.51806871194711
PHX,NYK,Madison Square Garden,2023-11-26,52.3,34.29,8.97,93.09504467912267,81.38207440344802
CHA,ORL,Kia Center,2023-11-26,78.03,64.33,5.56,11.535337124289196,22.44244898584404
MIN,MEM,FedExForum,2023-11-26,51.93,34.11,1.88,89.68318440292444,76.16408355790986
CHI,BKN,Barclays Center,2023-11-26,52.92,34.93,4.95,90.82047116165718,77.58175063125626
TOR,CLE,Rocket Mortgage FieldHouse,2023-11-26,43.5,29.01,9.17,98.05036555645816,88.9850745003336
SAS,DEN,Ball Arena,2023-11-26,38.71,17.47,1.01,96.10073111291632,85.86796963016602
WAS,DET,Little Caesars Arena,2023-11-27,34.41,24.57,3.55,97.4817221770918,88.13071152268617
POR,IND,Gainbridge Fieldhouse,2023-11-27,33.49,22.48,0.0,77.25426482534525,57.51093160475714
LAL,PHI,Wells Fargo Center,2023-11-27,48.96,34.86,0.0,56.94557270511779,49.54699925137807
NOP,UTA,Delta Center,2023-11-27,38.03,22.19,0.0,77.33549959382616,57.53530973481736
DEN,LAC,Crypto.com Arena,2023-11-27,71.51,53.55,0.0,17.140536149471973,27.686252360331206
CHI,BOS,TD Garden,2023-11-28,38.61,30.07,0.0,68.11535337124289,54.28733353129348
TOR,BKN,Barclays Center,2023-11-28,38.55,31.53,0.0,64.1348497156783,52.87405338429262
ATL,CLE,Rocket Mortgage FieldHouse,2023-11-28,26.62,22.15,6.07,98.70024370430544,91.33048755850795
MIL,MIA,Kaseya Center,2023-11-28,76.42,61.3,22.02,19.008935824532898,29.150946978337625
CHA,NYK,Madison Square Garden,2023-11-28,38.1,31.19,0.0,64.82534524776604,53.12541141027517
OKC,MIN,Target Center,2023-11-28,30.79,6.8,0.0,80.2599512591389,58.66965690451969
HOU,DAL,American Airlines Center,2023-11-28,62.24,40.05,0.0,45.775792038992684,44.55482673705194
GSW,SAC,Golden 1 Center,2023-11-28,62.22,36.18,0.0,53.93988627132413,48.25658073539815
LAL,DET,Little Caesars Arena,2023-11-29,34.68,19.65,0.0,78.39155158407799,57.94816886032448
WAS,ORL,Kia Center,2023-11-29,67.41,44.87,0.0,35.29650690495532,39.10732792576016
PHX,TOR,Scotiabank Arena,2023-11-29,32.02,24.13,3.66,97.80666125101543,88.61387101728728
UTA,MEM,FedExForum,2023-11-29,61.63,31.75,0.0,63.281884646628754,52.594839032216335
PHI,NOP,Smoothie King Center,2023-11-29,60.75,44.94,0.0,34.80909829406986,38.927625618850406
HOU,DEN,Ball Arena,2023-11-29,58.12,32.5,0.0,61.49471974004874,51.89698618159462
LAC,SAC,Golden 1 Center,2023-11-29,62.4,40.03,0.0,45.89764419171405,44.60201233038917
POR,CLE,Rocket Mortgage FieldHouse,2023-11-30,52.66,31.51,0.0,64.29731925264012,52.92707006583354
CHA,BKN,Barclays Center,2023-11-30,50.61,32.97,0.0,60.27619821283509,51.40830822459534
IND,MIA,Kaseya Center,2023-11-30,79.54,65.8,0.0,3.168155970755483,12.897346689031574
DET,NYK,Madison Square Garden,2023-11-30,50.4,31.82,0.0,63.078797725426476,52.52814066992057
MIL,CHI,United Center,2023-11-30,51.62,32.45,0.0,61.616571892770104,51.93750179864346
